"","q16","reltrad","income"
"26319"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"26320"," Roman Catholic "," Catholic ","50 to under $75,000"
"26321"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"26322"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"26323"," Roman Catholic "," Catholic ","30 to under $40,000"
"26324"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26325"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"26326"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"26327"," Roman Catholic "," Catholic ","75 to under $100,000"
"26328"," Roman Catholic "," Catholic ","30 to under $40,000"
"26329"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26330"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"26331"," Roman Catholic "," Catholic ","20 to under $30,000"
"26332"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"26333"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"26334"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"26335"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"26336"," Roman Catholic "," Catholic ","40 to under $50,000"
"26337"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"26338"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"26339"," Atheist (do not believe in God) "," Unaffiliated ","100 to under $150,000"
"26340"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"26341"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"26342"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26343"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26344"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"26345"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"26346"," Atheist (do not believe in God) "," Unaffiliated ","$150,000 or more"
"26347"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"26348"," Agnostic (not sure if there is a God) "," Unaffiliated ","100 to under $150,000"
"26349"," Roman Catholic "," Catholic ","100 to under $150,000"
"26350"," Roman Catholic "," Catholic ","10 to under $20,000"
"26351"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26352"," Christian (VOL) "," Mainline Protestant Churches ","100 to under $150,000"
"26353"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"26354"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"26355"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"26356"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26357"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"26358"," Roman Catholic "," Catholic ","50 to under $75,000"
"26359"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","Don't know/Refused (VOL.)"
"26360"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26361"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"26362"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26363"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"26364"," Buddhist "," Buddhist ","100 to under $150,000"
"26365"," Roman Catholic "," Catholic ","30 to under $40,000"
"26366"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"26367"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"26368"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26369"," Atheist (do not believe in God) "," Unaffiliated ","50 to under $75,000"
"26370"," Buddhist "," Buddhist ","Don't know/Refused (VOL.)"
"26371"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"26372"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"26373"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26374"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"26375"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26376"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"26377"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"26378"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26379"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","Don't know/Refused (VOL.)"
"26380"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"26381"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26382"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","$150,000 or more"
"26383"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"26384"," Jewish (Judaism) "," Jewish ","75 to under $100,000"
"26385"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"26386"," Hindu "," Hindu ","75 to under $100,000"
"26387"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"26388"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"26389"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"26390"," Nothing in particular "," Unaffiliated ","30 to under $40,000"
"26391"," Roman Catholic "," Catholic ","$150,000 or more"
"26392"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26393"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26394"," Nothing in particular "," Unaffiliated ","30 to under $40,000"
"26395"," Roman Catholic "," Catholic ","$150,000 or more"
"26396"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"26397"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"26398"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"26399"," Roman Catholic "," Catholic ","75 to under $100,000"
"26400"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"26401"," Roman Catholic "," Catholic ","40 to under $50,000"
"26402"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26403"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"26404"," Roman Catholic "," Catholic ","75 to under $100,000"
"26405"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26406"," Roman Catholic "," Catholic ","50 to under $75,000"
"26407"," Protestant "," Historically Black Protestant Churches ","Less than $10,000"
"26408"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"26409"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26410"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"26411"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"26412"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26413"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26414"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"26415"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"26416"," Muslim (Islam) "," Muslim ","40 to under $50,000"
"26417"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"26418"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26419"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"26420"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26421"," Orthodox (Greek, Russian, or some other orthodox church) "," Orthodox ","75 to under $100,000"
"26422"," Nothing in particular "," Unaffiliated ","Less than $10,000"
"26423"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"26424"," Roman Catholic "," Catholic ","100 to under $150,000"
"26425"," Roman Catholic "," Catholic ","75 to under $100,000"
"26426"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26427"," Roman Catholic "," Catholic ","50 to under $75,000"
"26428"," Roman Catholic "," Catholic ","$150,000 or more"
"26429"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"26430"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"26431"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26432"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26433"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26434"," Jehovah’s Witness (VOL) "," Jehovah's Witness ","40 to under $50,000"
"26435"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"26436"," Agnostic (not sure if there is a God) "," Unaffiliated ","$150,000 or more"
"26437"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26438"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"26439"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"26440"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"26441"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"26442"," Roman Catholic "," Catholic ","30 to under $40,000"
"26443"," Roman Catholic "," Catholic ","100 to under $150,000"
"26444"," Roman Catholic "," Catholic ","30 to under $40,000"
"26445"," Jewish (Judaism) "," Jewish ","10 to under $20,000"
"26446"," Muslim (Islam) "," Muslim ","30 to under $40,000"
"26447"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"26448"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"26449"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"26450"," Roman Catholic "," Catholic ","75 to under $100,000"
"26451"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"26452"," Roman Catholic "," Catholic ","50 to under $75,000"
"26453"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26454"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"26455"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"26456"," Roman Catholic "," Catholic ","10 to under $20,000"
"26457"," Muslim (Islam) "," Muslim ","Don't know/Refused (VOL.)"
"26458"," Roman Catholic "," Catholic ","Less than $10,000"
"26459"," Jewish (Judaism) "," Jewish ","75 to under $100,000"
"26460"," Roman Catholic "," Catholic ","100 to under $150,000"
"26461"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"26462"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"26463"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"26464"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26465"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"26466"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"26467"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26468"," Jehovah’s Witness (VOL) "," Jehovah's Witness ","10 to under $20,000"
"26469"," Jewish (Judaism) "," Jewish ","Don't know/Refused (VOL.)"
"26470"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"26471"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"26472"," Nothing in particular "," Unaffiliated ","30 to under $40,000"
"26473"," Christian (VOL) "," Mainline Protestant Churches ","100 to under $150,000"
"26474"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"26475"," Roman Catholic "," Catholic ","10 to under $20,000"
"26476"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","Don't know/Refused (VOL.)"
"26477"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"26478"," Roman Catholic "," Catholic ","100 to under $150,000"
"26479"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"26480"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26481"," Roman Catholic "," Catholic ","20 to under $30,000"
"26482"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26483"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"26484"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"26485"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"26486"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"26487"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"26488"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26489"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"26490"," Protestant "," Historically Black Protestant Churches ","50 to under $75,000"
"26491"," Roman Catholic "," Catholic ","75 to under $100,000"
"26492"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26493"," Protestant "," Historically Black Protestant Churches ","40 to under $50,000"
"26494"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"26495"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"26496"," Roman Catholic "," Catholic ","50 to under $75,000"
"26497"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"26498"," Roman Catholic "," Catholic ","$150,000 or more"
"26499"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"26500"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"26501"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26502"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"26503"," Roman Catholic "," Catholic ","30 to under $40,000"
"26504"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"26505"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"26506"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"26507"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"26508"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26509"," Roman Catholic "," Catholic ","75 to under $100,000"
"26510"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"26511"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"26512"," Roman Catholic "," Catholic ","20 to under $30,000"
"26513"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26514"," Protestant "," Historically Black Protestant Churches ","40 to under $50,000"
"26515"," Agnostic (not sure if there is a God) "," Unaffiliated ","40 to under $50,000"
"26516"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26517"," Roman Catholic "," Catholic ","75 to under $100,000"
"26518"," Roman Catholic "," Catholic ","75 to under $100,000"
"26519"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26520"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","10 to under $20,000"
"26521"," Roman Catholic "," Catholic ","50 to under $75,000"
"26522"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"26523"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"26524"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26525"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26526"," Jewish (Judaism) "," Jewish ","30 to under $40,000"
"26527"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"26528"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"26529"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"26530"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26531"," Jewish (Judaism) "," Jewish ","Don't know/Refused (VOL.)"
"26532"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","Don't know/Refused (VOL.)"
"26533"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"26534"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26535"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26536"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"26537"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"26538"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26539"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"26540"," Roman Catholic "," Catholic ","$150,000 or more"
"26541"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"26542"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"26543"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"26544"," Protestant "," Evangelical Protestant Churches ","$150,000 or more"
"26545"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"26546"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26547"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"26548"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26549"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26550"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"26551"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"26552"," Roman Catholic "," Catholic ","20 to under $30,000"
"26553"," Roman Catholic "," Catholic ","Less than $10,000"
"26554"," Roman Catholic "," Catholic ","50 to under $75,000"
"26555"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"26556"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"26557"," Protestant "," Evangelical Protestant Churches ","$150,000 or more"
"26558"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26559"," Jewish (Judaism) "," Jewish ","Don't know/Refused (VOL.)"
"26560"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"26561"," Buddhist "," Buddhist ","50 to under $75,000"
"26562"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"26563"," Protestant "," Historically Black Protestant Churches ","$150,000 or more"
"26564"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26565"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"26566"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","40 to under $50,000"
"26567"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26568"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26569"," Roman Catholic "," Catholic ","50 to under $75,000"
"26570"," Roman Catholic "," Catholic ","30 to under $40,000"
"26571"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"26572"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"26573"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"26574"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26575"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"26576"," Roman Catholic "," Catholic ","Less than $10,000"
"26577"," Roman Catholic "," Catholic ","100 to under $150,000"
"26578"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"26579"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26580"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26581"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26582"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26583"," Roman Catholic "," Catholic ","$150,000 or more"
"26584"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"26585"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26586"," Agnostic (not sure if there is a God) "," Unaffiliated ","75 to under $100,000"
"26587"," Roman Catholic "," Catholic ","75 to under $100,000"
"26588"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","$150,000 or more"
"26589"," Roman Catholic "," Catholic ","50 to under $75,000"
"26590"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"26591"," Roman Catholic "," Catholic ","75 to under $100,000"
"26592"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26593"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"26594"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"26595"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"26596"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"26597"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"26598"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"26599"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26600"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"26601"," Roman Catholic "," Catholic ","Less than $10,000"
"26602"," Atheist (do not believe in God) "," Unaffiliated ","Less than $10,000"
"26603"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"26604"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"26605"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26606"," Jehovah’s Witness (VOL) "," Jehovah's Witness ","Don't know/Refused (VOL.)"
"26607"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"26608"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"26609"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"26610"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"26611"," Roman Catholic "," Catholic ","75 to under $100,000"
"26612"," Protestant "," Historically Black Protestant Churches ","Less than $10,000"
"26613"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"26614"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"26615"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"26616"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"26617"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26618"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"26619"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"26620"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26621"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"26622"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26623"," Agnostic (not sure if there is a God) "," Unaffiliated ","Don't know/Refused (VOL.)"
"26624"," Roman Catholic "," Catholic ","20 to under $30,000"
"26625"," Roman Catholic "," Catholic ","75 to under $100,000"
"26626"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"26627"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26628"," Roman Catholic "," Catholic ","75 to under $100,000"
"26629"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"26630"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"26631"," Protestant "," Historically Black Protestant Churches ","40 to under $50,000"
"26632"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","75 to under $100,000"
"26633"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26634"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","Don't know/Refused (VOL.)"
"26635"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","Less than $10,000"
"26636"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"26637"," Roman Catholic "," Catholic ","75 to under $100,000"
"26638"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"26639"," Christian (VOL) "," Evangelical Protestant Churches ","40 to under $50,000"
"26640"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26641"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"26642"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"26643"," Roman Catholic "," Catholic ","75 to under $100,000"
"26644"," Protestant "," Evangelical Protestant Churches ","$150,000 or more"
"26645"," Nothing in particular "," Unaffiliated ","30 to under $40,000"
"26646"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26647"," Atheist (do not believe in God) "," Unaffiliated ","Don't know/Refused (VOL.)"
"26648"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"26649"," Buddhist "," Buddhist ","10 to under $20,000"
"26650"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26651"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"26652"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26653"," Agnostic (not sure if there is a God) "," Unaffiliated ","75 to under $100,000"
"26654"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"26655"," Unitarian (Universalist) (VOL) "," Other Faiths ","50 to under $75,000"
"26656"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"26657"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"26658"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"26659"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26660"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26661"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"26662"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"26663"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26664"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26665"," Roman Catholic "," Catholic ","50 to under $75,000"
"26666"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"26667"," Atheist (do not believe in God) "," Unaffiliated ","10 to under $20,000"
"26668"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"26669"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","75 to under $100,000"
"26670"," Roman Catholic "," Catholic ","10 to under $20,000"
"26671"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"26672"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26673"," Protestant "," Evangelical Protestant Churches ","$150,000 or more"
"26674"," Roman Catholic "," Catholic ","100 to under $150,000"
"26675"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"26676"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","75 to under $100,000"
"26677"," Protestant "," Evangelical Protestant Churches ","$150,000 or more"
"26678"," Roman Catholic "," Catholic ","10 to under $20,000"
"26679"," Agnostic (not sure if there is a God) "," Unaffiliated ","30 to under $40,000"
"26680"," Protestant "," Historically Black Protestant Churches ","Less than $10,000"
"26681"," Atheist (do not believe in God) "," Unaffiliated ","100 to under $150,000"
"26682"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26683"," Roman Catholic "," Catholic ","Less than $10,000"
"26684"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"26685"," Roman Catholic "," Catholic ","50 to under $75,000"
"26686"," Atheist (do not believe in God) "," Unaffiliated ","40 to under $50,000"
"26687"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"26688"," Roman Catholic "," Catholic ","75 to under $100,000"
"26689"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26690"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"26691"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26692"," Agnostic (not sure if there is a God) "," Unaffiliated ","50 to under $75,000"
"26693"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","Don't know/Refused (VOL.)"
"26694"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26695"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"26696"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26697"," Roman Catholic "," Catholic ","75 to under $100,000"
"26698"," Atheist (do not believe in God) "," Unaffiliated ","$150,000 or more"
"26699"," Buddhist "," Buddhist ","10 to under $20,000"
"26700"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"26701"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26702"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"26703"," Roman Catholic "," Catholic ","50 to under $75,000"
"26704"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26705"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26706"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26707"," Roman Catholic "," Catholic ","$150,000 or more"
"26708"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26709"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26710"," Christian (VOL) "," Mainline Protestant Churches ","100 to under $150,000"
"26711"," Roman Catholic "," Catholic ","100 to under $150,000"
"26712"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"26713"," Roman Catholic "," Catholic ","40 to under $50,000"
"26714"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"26715"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"26716"," Jewish (Judaism) "," Jewish ","Don't know/Refused (VOL.)"
